City,Country,Max Temperature,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
lufilufi,ws,27.61,80,7.34,92,-171.6,-13.87
faanui,pf,26.62,81,5.92,10,-151.75,-16.48
atuona,pf,26.8,76,8.85,3,-139.03,-9.8
san patricio,mx,29.15,79,5.1,75,-104.7,19.22
coahuayana,mx,25.81,80,0.25,96,-100.35,18.62
lazaro cardenas,mx,27.93,56,3.6,20,-105.62,28.39
ixtapa,mx,30.15,74,4.1,90,-105.21,20.71
puerto ayora,ec,25.15,61,5.7,90,-90.35,-0.74
san cristobal,ec,30.21,53,2.32,99,-79.44,-1.02
manta,ec,25.15,73,6.2,75,-80.73,-0.95
bahia de caraquez,ec,25.15,73,6.2,75,-80.42,-0.6
pedernales,ec,23.81,88,7.33,92,-80.05,0.07
santo domingo,ec,22.15,46,5.1,40,-78.75,-1.72
cayambe,ec,17.15,72,4.6,75,-78.14,0.04
nueva loja,ec,30.15,62,3.6,40,-76.88,0.08
puerto asis,co,30.15,62,3.6,40,-76.5,0.51
puerto leguizamo,co,32.29,49,1.2,5,-74.78,-0.19
miraflores,co,18.36,62,2.38,34,-73.14,5.2
mitu,co,31.74,52,0.49,75,-70.17,1.2
sao gabriel da cachoeira,br,28.15,78,3.6,75,-67.09,-0.13
santa isabel do rio negro,br,26.46,76,1.4,100,-65.02,-0.41
barcelos,br,27.1,90,1.27,88,-62.93,-0.97
boa vista,br,29.15,62,6.7,75,-60.67,2.82
urucara,br,32.31,52,1.54,39,-57.76,-2.54
oriximina,br,32.82,50,2.03,77,-55.87,-1.77
alenquer,br,30.15,74,3.1,20,-54.74,-1.95
prainha,br,32.43,51,1.41,58,-53.48,-1.8
almeirim,br,29.8,58,0.98,69,-52.58,-1.53
mazagao,br,31.15,66,5.1,20,-51.29,-0.12
macapa,br,31.15,66,5.1,20,-51.07,0.05
soure,br,28.69,65,5.07,14,-48.52,-0.72
curuca,br,26.69,85,1.13,100,-61.06,-2.52
salinopolis,br,27.76,78,8.03,2,-47.36,-0.61
viseu,br,27.19,73,3.94,0,-46.14,-1.2
carutapera,br,27.19,73,3.94,0,-46.02,-1.2
cururupu,br,26.61,70,2.07,12,-44.87,-1.82
tutoia,br,26.12,71,3.61,4,-42.27,-2.76
camocim,br,28.15,65,7.7,0,-40.84,-2.9
itarema,br,28.15,65,7.7,0,-39.92,-2.92
paracuru,br,27.15,74,5.1,20,-39.03,-3.41
caucaia,br,27.15,74,5.1,20,-38.66,-3.73
aquiraz,br,27.15,74,5.1,20,-38.39,-3.9
touros,br,26.15,74,5.7,40,-35.46,-5.2
georgetown,sh,23.21,82,6.94,43,-14.42,-7.93
monrovia,lr,26.15,94,3.29,40,-10.8,6.33
buchanan,lr,26.15,94,4.36,40,-10.05,5.88
harper,lr,25.68,88,2.1,1,-7.71,4.38
tabou,ci,24.1,94,1.29,0,-7.36,4.42
axim,gh,25.89,88,4.26,9,-2.24,4.87
takoradi,gh,24.7,91,2.47,5,-1.75,4.89
mumford,gh,24.0,96,1.7,0,-0.76,5.26
anloga,gh,27.15,88,5.1,40,0.9,5.79
port-gentil,ga,26.46,85,4.48,100,8.78,-0.72
